method,months,cumulative_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,monthly_loss_var_0_95,monthly_loss_cvar_0_95,loss_tail_confidence,annualized_tracking_error,information_ratio,average_monthly_one_way_turnover,total_transaction_cost
130_30_mathematical_appendix,72,0.0421360664755428,0.00690246576682596,0.11788491055448162,0.09952612251862887,-0.23589813662205705,0.05138893638348532,0.06527111659566996,0.95,0.07486287108170017,-0.7418064494244141,0.2776824255201208,0.02131545221192855
benchmark_relative_constrained,72,0.4129222287100691,0.05930179845080352,0.11895645728773688,0.5272166442706268,-0.2104558356775702,0.049559988003431865,0.05912373450705097,0.95,0.0349659776419671,-0.13014263358540032,0.09891023011572783,0.008022626338216677
equal_weight,72,0.4369971941208546,0.06228892410663711,0.1303427072940486,0.5136993634222476,-0.2378337596482467,0.062197886524700846,0.06629672564378791,0.95,0.0004034544949799501,-0.766933773056266,0.01206390519082931,0.0018565372685488814
exact_cardinality_cvar,72,0.19900215825679313,0.03071040629648203,0.1171616152585018,0.2990427522794854,-0.2488440892202457,0.057944309847707744,0.06388877056846241,0.95,0.042744300496227974,-0.7540199834644213,0.055251378233165116,0.004922847854554723
global_minimum_variance,72,0.28816837862886735,0.043106789853508465,0.11295628185508587,0.4119461993100697,-0.24244109999213237,0.05202308681746495,0.05606430890611142,0.95,0.04139531555925288,-0.5008894693337423,0.04335470178877722,0.004078183827003182
historical_joint_cvar,72,0.19698279655015782,0.030420882319689202,0.11802103678234517,0.29532981430367594,-0.26531176716659066,0.05415960347365589,0.0616434650025104,0.95,0.03955301140760987,-0.8194384349375605,0.04788567712048274,0.004399883075554266
maximum_sharpe_with_gmv_fallback,72,0.31118094344677205,0.0461896954936849,0.11719783579223933,0.42668923264044245,-0.2296251114329837,0.051260799086253035,0.06179535428591736,0.95,0.03840809116895276,-0.4493671384121539,0.12217888025829111,0.009674700498338667
shrinkage_mean_variance,72,0.42137253876087266,0.06035507688902175,0.11591218362799088,0.5465663403072333,-0.23193237201553918,0.04721784312455013,0.05623547209867173,0.95,0.03375704307489445,-0.1159073865126392,0.08679162588679558,0.007162205437962485
